Customer ID,Age,Generation,Gender,Item Purchased,Category, Purchase Amount (USD) ,Previous Purchases, Revenue Amount(USD) , Number Of Orders , Average Order Value(AOV) ,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Preferred Payment Method,Frequency of Purchases
1,55,Gen X,Male,Blouse,Clothing,53,14,742,1,742,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,Venmo,Fortnightly
2,19,Gen Z,Male,Sweater,Clothing,64,2,128,1,128,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,Cash,Fortnightly
3,50,Gen X,Male,Jeans,Clothing,73,23,1679,1,1679,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
4,21,Gen Z,Male,Sandals,Footwear,90,49,4410,1,4410,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,PayPal,Weekly
5,45,Gen X,Male,Blouse,Clothing,49,31,1519,1,1519,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,PayPal,Annually
6,46,Gen X,Male,Sneakers,Footwear,20,14,280,1,280,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,Venmo,Weekly
7,63,Baby Boomers,Male,Shirt,Clothing,85,49,4165,1,4165,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,Cash,Quarterly
8,27,Millennials,Male,Shorts,Clothing,34,19,646,1,646,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,Credit Card,Weekly
9,26,Gen Z,Male,Coat,Outerwear,97,8,776,1,776,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,Venmo,Annually
10,57,Gen X,Male,Handbag,Accessories,31,4,124,1,124,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,Cash,Quarterly
11,53,Gen X,Male,Shoes,Footwear,34,26,884,,,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,Bank Transfer,Bi-Weekly
12,30,Millennials,Male,Shorts,Clothing,68,10,680,1,680,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,Bank Transfer,Fortnightly
13,61,Baby Boomers,Male,Coat,Outerwear,72,37,2664,1,2664,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,Venmo,Fortnightly
14,65,Baby Boomers,Male,Dress,Clothing,51,31,1581,1,1581,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,PayPal,Weekly
15,64,Baby Boomers,Male,Coat,Outerwear,53,34,1802,1,1802,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,Debit Card,Weekly
16,64,Baby Boomers,Male,Skirt,Clothing,81,8,648,1,648,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,PayPal,Monthly
17,25,Gen Z,Male,Sunglasses,Accessories,36,44,1584,,,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,Debit Card,Bi-Weekly
18,53,Gen X,Male,Dress,Clothing,38,36,1368,1,1368,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,Venmo,Quarterly
19,52,Gen X,Male,Sweater,Clothing,48,17,816,1,816,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,Cash,Weekly
20,66,Baby Boomers,Male,Pants,Clothing,90,46,4140,,,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,Debit Card,Bi-Weekly
21,21,Gen Z,Male,Pants,Clothing,51,50,2550,1,2550,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,Cash,Every 3 Months
22,31,Millennials,Male,Pants,Clothing,62,22,1364,1,1364,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,Debit Card,Quarterly
23,56,Gen X,Male,Pants,Clothing,37,32,1184,1,1184,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,Debit Card,Annually
24,31,Millennials,Male,Pants,Clothing,88,40,3520,1,3520,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,Credit Card,Weekly
